120824172354, 11111,  "Hush Hush... - Pussycat Dolls", 12.95, 1, 0.0, 12.95, 2012/08/24 17:23:54 PM EDT
120824173831, 55555,  "Day & Age - Killers", 10.99, 2, 0.0, 21.98, 2012/08/24 17:38:31 PM EDT
120824174038, 33333,  "Hanging By A Moment - Lifehouse - Single, 4.95, 1, 0.0, 4.95, 2012/08/24 17:40:38 PM EDT
120824174232, 11111,  "Hush Hush... - Pussycat Dolls", 12.95, 1, 0.0, 12.95, 2012/08/24 17:42:32 PM EDT
120824174513, 22222,  "Animal - Ke$ha", 9.95, 1, 0.0, 9.95, 2012/08/24 17:45:13 PM EDT
120824192841, 11111,  "Hush Hush... - Pussycat Dolls", 12.95, 8, 10.0, 93.24, 2012/08/24 19:28:41 PM EDT
120824200054, 22222,  "Animal - Ke$ha", 9.95, 10, 15.0, 84.575, 2012/08/24 20:00:54 PM EDT
120824200054, 77777,  "Dark Horse - Nickelback", 12.99, 8, 10.0, 93.528, 2012/08/24 20:00:54 PM EDT
120824232516, 22222,  "Animal - Ke$ha", 9.95, 6, 10.0, 53.729996, 2012/08/24 23:25:16 PM EDT
120829165153, 11111,  "Hush Hush... - Pussycat Dolls", 12.95, 20, 20.0, 207.2, 2012/08/29 16:51:53 PM EDT
120829165153, 66666,  "She Wolf - Shakira", 15.99, 2, 0.0, 31.98, 2012/08/29 16:51:53 PM EDT
120829165331, 22222,  "Animal - Ke$ha", 9.95, 1, 0.0, 9.95, 2012/08/29 16:53:31 PM EDT
120829165331, 22222,  "Animal - Ke$ha", 9.95, 1, 0.0, 9.95, 2012/08/29 16:53:31 PM EDT
120829165331, 33333,  "Hanging By A Moment - Lifehouse - Single, 4.95, 1, 0.0, 4.95, 2012/08/29 16:53:31 PM EDT
120829165331, 44444,  "Have A Nice Day - Bon Jovi", 9.99, 1, 0.0, 9.99, 2012/08/29 16:53:31 PM EDT
120829165331, 66666,  "She Wolf - Shakira", 15.99, 1, 0.0, 15.99, 2012/08/29 16:53:31 PM EDT
120829165532, 77777,  "Dark Horse - Nickelback", 12.99, 1, 0.0, 12.99, 2012/08/29 16:55:32 PM EDT
